Year,Bank,Gross NPAs,,,,,Net NPAs,,Normalized Likelihood,Normalized Impact
,,Opening Balance,Addition during,Reduction during,Write-off during,Closing Balance,Opening Balance,Closing Balance,,
,,,the Year,the Year,the Year,,,,,
2024,STATE BANK OF INDIA,"90,927.78","20,316.90","10,806.98","16,161.37","84,276.33","21,466.64","21,051.08",1,2
2023,STATE BANK OF INDIA,"1,12,023.37","18,420.64","15,454.96","24,061.27","90,927.78","27,965.71","21,466.64",1,3
2022,STATE BANK OF INDIA,"1,26,389.02","25,021.23","19,720.66","19,666.22","1,12,023.37","36,809.72","27,965.71",2,3
2021,STATE BANK OF INDIA,"1,49,091.85","28,563.45","16,864.08","34,402.20","1,26,389.02","51,871.30","36,809.72",2,3
2020,STATE BANK OF INDIA,"1,72,750.36","49,826.28","21,122.42","52,362.37","1,49,091.85","65,894.74","51,871.30",2,4
2019,STATE BANK OF INDIA,"2,23,427.46","32,738.05","24,509.97","58,905.18","1,72,750.36","1,10,854.70","65,894.74",2,4
2018,STATE BANK OF INDIA*,"1,12,342.99","1,60,303.65","9,023.76","40,195.42","2,23,427.46","58,277.38","1,10,854.70",5,5
2017,STATE BANK OF INDIA,"98,172.80","39,071.38","4,331.39","20,569.80","1,12,342.99","55,807.02","58,277.38",2,3
2016,STATE BANK OF INDIA,"56,725.34","64,198.49","6,987.77","15,763.26","98,172.80","27,590.58","55,807.02",3,3
2015,STATE BANK OF INDIA,"61,605.35","29,435.02","13,011.57","21,303.46","56,725.34","31,096.07","27,590.58",2,2
2014,STATE BANK OF INDIA,"51,189.39","41,216.67","17,918.21","12,882.50","61,605.35","21,956.48","31,096.07",2,2
2013,STATE BANK OF INDIA,"39,676.46","31,993.35","14,885.65","5,594.77","51,189.39","15,818.85","21,956.48",2,2
2012,STATE BANK OF INDIA,"25,326.29","24,712.22","9,617.71",744.34,"39,676.46","12,346.90","15,818.85",2,2
2011,STATE BANK OF INDIA,"19,534.89","18,145.70","8,347.45","4,006.85","25,326.29","10,870.17","12,346.90",1,1
2010,STATE BANK OF INDIA,"15,714.00","11,842.84","6,031.47","1,990.48","19,534.89","9,677.42","10,870.17",1,1
2009,STATE BANK OF INDIA,"12,837.34","11,140.21","8,263.55",-,"15,714.00","7,424.33","9,677.42",1,1
2008,STATE BANK OF INDIA,"9,998.22","7,899.04","5,059.92",-,"12,837.34","5,257.72","7,424.33",1,1
2007,STATE BANK OF INDIA,"9,628.14","4,963.87","4,593.79",-,"9,998.22","4,911.41","5,257.72",1,1
2006,STATE BANK OF INDIA,"11,656.99","4,327.28","6,356.13",-,"9,628.14","6,303.34","4,911.41",1,1
2005,STATE BANK OF INDIA,"12,667.21","4,284.60","3,158.62","1,337.46","12,455.73","5,441.73","5,348.89",1,1
,MAXIMUM VALUE,"2,23,427.46","1,60,303.65","24,509.97","58,905.18","2,23,427.46","1,10,854.70","1,10,854.70",,
,MINIMUM VALU,"9,628.14","4,284.60","3,158.62",744.34,"9,628.14","4,911.41","4,911.41",,
